task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the small red strawberry into the deep pot.,6.4123,0.5242,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,put the cup into the sink,6.0098,1.0642,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,put the pot in the sink,5.7523,1.1324,True,128.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,put the potato in the pot or the pan,7.2786,1.5715,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,pick up the large purple eggplant and put it in the tall pot or the shallow pan,6.4899,1.6276,True,64.0
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,pick up the completely transparent glass,6.6837,2.1806,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,pick up the red object from the pot and put it on the left burner,5.3017,2.6595,True,128.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the front faucet to the right.,8.3343,2.7657,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,fold the four flaps atop the miniature box,7.8132,3.2002,True,128.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,fold the left edge of the cloth to the right edge,6.7073,3.5125,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,pick up the bowl and put it in the small box,7.6194,3.6334,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Pick up the spatula and put it on the plate at the sink.,7.1839,5.5188,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,pick up the spatula and put it on the plate in the sink,7.3307,5.6699,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,pick up the little spoon out of the basket and put it onto the tray,7.0412,-0.1152,True,64.0
put sweet potato in pot,natural,Transfer the sweet potato over to the pot.,6.958,pick up the sweet potato and put it in the pot,6.8706,-0.0874,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,move the sushi over to the pot or the pan.,7.7853,-0.0598,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,take the spatula off the plate and put it in the sink basin.,7.5882,0.0071,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,flip the cup so it stands on its base,7.0505,0.0311,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave completely.,8.5437,0.072,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,put the eggplant into the frying pan,6.5606,0.0725,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,put the broccoli in the pot or pan,7.772,0.1856,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Put the pot in the sink.,7.6336,0.2316,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pan or the pot.,7.0365,0.3303,True,64.0
put corn in pan which is on stove,natural,"In the pan on the stove, please put the corn.",6.2146,put the corn in the pan on the stove,6.5665,0.3519,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the brush into the skillet or the saucepan.,6.7613,0.367,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,close the top of the small cardboard carton,4.9742,1.1146,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,pick up the metal pot from the blue burner and put it in the sink,5.6357,0.1461,True,64.0
