task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Grip the clear glass and lift it off the rack.,1.9361,-2.567,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Thinking Process:,2.638,-2.3077,True,64.0
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Pick up the clear glass and lift it off the rack.,2.3962,-2.1069,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Thinking Process:,4.2106,-1.6775,True,64.0
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Thinking Process:,2.8856,-1.6175,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Thinking Process:,1.6387,-1.5561,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Thinking Process:,4.1843,-1.5228,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Grab the red spatula on the front-left burner and place it on the left burner.,1.3212,-1.321,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Grab the red spatula and place it on the left burner.,1.4365,-1.2057,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Thinking Process:,3.7427,-1.1196,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Thinking Process:,1.7041,-0.9381,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Move the red object from the pot to the left burner.,1.9064,-0.7359,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Move the red strawberry into the metal pot.,5.338,-0.55,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Put the handled cooking vessel in the dish-washing basin.,4.1813,-0.4387,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Thinking Process:,4.5033,-0.3937,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,"Place the orange, cone-shaped vegetable on the cutting board.",6.5399,-0.1545,True,64.0
