task,phrase,kind,base_kind,proxy,proxy_imputed,n_ctx,gt_success,source
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,0.9630851604713486,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,0.9841054499552185,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,0.9878637057514416,True,80,,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,0.9915753001803732,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,0.9946897095686147,True,80,,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,0.986707912779375,True,80,,search_boards
close brown1fbox flap,close the box lid,search,,0.9907924218206858,True,80,,search_boards
close brown1fbox flap,close the left lid of the box,search,,0.9928422072491674,True,80,,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,0.9929134456800632,True,80,,search_boards
close brown1fbox flap,close brown1fbox flap,original,,0.9944725593108239,True,80,,search_boards
close brown1fbox flap,shut the lid on the brown box,search,,0.9946609332989123,True,80,,search_boards
close brown1fbox flap,close the brown box lid,search,,0.9946741416251652,True,80,,search_boards
close fridge,shut the fridge door,search,,0.9946144470605152,True,80,,search_boards
close fridge,shut the white fridge,search,,0.9946192954791901,True,80,,search_boards
close fridge,close fridge,original,,0.9946909052262158,True,80,,search_boards
close fridge,close the white fridge,search,,0.9946944905926007,True,80,,search_boards
close fridge,shut the fridge,search,,0.9946968794987682,True,80,,search_boards
close fridge,close the fridge,search,,0.9946974765581167,True,80,,search_boards
close fridge,shut the white cabinet door,search,,0.9947171420510585,True,80,,search_boards
close low fridge,close the white door,search,,0.9947105949606904,True,80,,search_boards
close low fridge,close the lower white door,search,,0.9947159522708456,True,80,,search_boards
close low fridge,close the white cupboard door,search,,0.9947207097930898,True,80,,search_boards
close low fridge,shut the white door,search,,0.9947284316810358,True,80,,search_boards
close low fridge,close low fridge,original,,0.9947296186662157,True,80,,search_boards
close low fridge,close the cabinet below the dispenser,search,,0.9947804083089717,True,80,,search_boards
close low fridge,shut the lower cabinet door,search,,0.9947821712249449,True,80,,search_boards
close low fridge,shut the white cupboard door,search,,0.9947862823924906,True,80,,search_boards
close microwave,close microwave,original,,0.9946621354009686,True,80,,search_boards
close microwave,shut the white microwave,search,,0.9946789365904878,True,80,,search_boards
close microwave,shut the wooden microwave,search,,0.994682529996387,True,80,,search_boards
close microwave,push the white microwave shut,search,,0.994687915580003,True,80,,search_boards
close microwave,push the wooden microwave shut,search,,0.9946909052262158,True,80,,search_boards
close microwave,shut the white microwave door,search,,0.9947898036856386,True,80,,search_boards
close microwave,shut the microwave door,search,,0.9947903903377794,True,80,,search_boards
close microwave,close the wooden microwave,search,,0.9947933226129879,True,80,,search_boards
close microwave,shut the microwave,search,,0.9947962532463731,True,80,,search_boards
close oven,close oven,original,,0.9946621354009686,True,80,,search_boards
close oven,push the open oven door until it is shut,search,,0.9946807335952533,True,80,,search_boards
close oven,push the open oven door shut,search,,0.9946831286626592,True,80,,search_boards
close oven,push the oven door back to close it,search,,0.9946992673350172,True,80,,search_boards
close oven,push the oven door to shut it,search,,0.9947016541018223,True,80,,search_boards
close oven,close the open oven door,search,,0.9947491655828399,True,80,,search_boards
close oven,shut the open oven door,search,,0.9947491655828399,True,80,,search_boards
close oven,close the oven door completely,search,,0.9947515300004548,True,80,,search_boards
close oven,push the oven door to close it,search,,0.9947574364120991,True,80,,search_boards
close small4fbox flaps,close the small box on the stove,search,,0.991823138310276,True,80,,search_boards
close small4fbox flaps,shut the small box,search,,0.9943606953690192,True,80,,search_boards
close small4fbox flaps,close the small box,search,,0.994363233721101,True,80,,search_boards
close small4fbox flaps,fold the flaps of the box closed,search,,0.9946567238208757,True,80,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,search,,0.9946627363510415,True,80,,search_boards
close small4fbox flaps,close small4fbox flaps,original,,0.9947260569128762,True,80,,search_boards
close small4fbox flaps,close the box flaps on the stove,search,,0.994759797125031,True,80,,search_boards
close white1fbox flap,close flap of the white box,search,,0.9946567238208757,True,80,,search_boards
close white1fbox flap,close the flap on the white box,search,,0.9946645387975296,True,80,,search_boards
close white1fbox flap,close white1fbox flap,original,,0.994675340769259,True,80,,search_boards
close white1fbox flap,close white box's flap,search,,0.9946843257940896,True,80,,search_boards
close white1fbox flap,close white box flap,search,,0.9947456169696386,True,80,,search_boards
close white1fbox flap,fold down the white box flap,search,,0.9947462085707921,True,80,,search_boards
end effector reaching banana,aim the claw at the toy banana,search,,0.9786214715727951,True,80,,search_boards
end effector reaching banana,navigate to the toy banana,search,,0.9814906332009936,True,80,,search_boards
end effector reaching banana,aim the hand at the toy banana,search,,0.9831430378539654,True,80,,search_boards
end effector reaching banana,reach toward the yellow banana,search,,0.9913229373629417,True,80,,search_boards
end effector reaching banana,end effector reaching banana,original,,0.9941063435502321,True,80,,search_boards
end effector reaching banana,grab the yellow banana on the stove,search,,0.994832457059795,True,80,,search_boards
end effector reaching banana,reach toward the toy banana,search,,0.9948330389342414,True,80,,search_boards
end effector reaching banana,aim the claw at the yellow banana,search,,0.994834202487602,True,80,,search_boards
end effector reaching carrot,touch the carrot on the stove grate,search,,0.9810369816867583,True,80,,search_boards
end effector reaching carrot,touch the orange carrot on the stove,search,,0.9866633019211942,True,80,,search_boards
end effector reaching carrot,touch the orange carrot on the right stove grate,search,,0.9882352372191782,True,80,,search_boards
end effector reaching carrot,point gripper at the orange carrot,search,,0.9887388374704236,True,80,,search_boards
end effector reaching carrot,end effector reaching carrot,original,,0.9947117859407666,True,80,,search_boards
end effector reaching carrot,aim gripper at the orange carrot,search,,0.9947521209393609,True,80,,search_boards
end effector reaching corn,reach for the yellow corn on the stove,search,,0.9198251277245231,True,80,,search_boards
end effector reaching corn,put the gripper next to the corn,search,,0.9922076983467258,True,80,,search_boards
end effector reaching corn,touch the yellow corn,search,,0.9945381237175087,True,80,,search_boards
end effector reaching corn,position gripper next to the corn,search,,0.9945852651661942,True,80,,search_boards
end effector reaching corn,touch the yellow corn with the gripper,search,,0.9945870936330877,True,80,,search_boards
end effector reaching corn,touch the toy corn with the gripper,search,,0.9946114145925855,True,80,,search_boards
end effector reaching corn,end effector reaching corn,original,,0.994642869423042,True,80,,search_boards
end effector reaching corn,touch the corn with the gripper,search,,0.9946482949591399,True,80,,search_boards
end effector reaching pot or pan,touch the red pot on the burner,search,,0.9820696733523742,True,80,,search_boards
end effector reaching pot or pan,reach for the red pot on the burner,search,,0.9907240172892482,True,80,,search_boards
end effector reaching pot or pan,move the gripper to the red toy pot,search,,0.9922295469232523,True,80,,search_boards
end effector reaching pot or pan,bring the gripper to the red toy pot,search,,0.9930756456220338,True,80,,search_boards
end effector reaching pot or pan,touch the red plastic pot,search,,0.9947040397996572,True,80,,search_boards
end effector reaching pot or pan,reach for the red cooking pot,search,,0.9947111904840746,True,80,,search_boards
end effector reaching pot or pan,end effector reaching pot or pan,original,,0.9947266507046593,True,80,,search_boards
end effector reaching salmon,[dry-run:gemini] fc8dfe765447,rephrased,search,0.2050086869119735,False,80,,loop_gemini
end effector reaching salmon,[dry-run:gemini] 2656346a7b75,rephrased,search,0.6869161890604483,False,80,,loop_gemini
end effector reaching salmon,bring gripper close to the pink salmon on the stove,search,,0.9790830547427262,True,80,,search_boards
end effector reaching salmon,approach the salmon on the stove,search,,0.9893387566121641,True,80,,search_boards
end effector reaching salmon,approach the salmon with the gripper,search,,0.989657497375485,True,80,,search_boards
end effector reaching salmon,bring gripper close to the salmon,search,,0.990473139493237,True,80,,search_boards
end effector reaching salmon,end effector reaching salmon,original,,0.9946962823725496,True,80,,search_boards
end effector reaching salmon,approach the salmon slice with the gripper,search,,0.9947609770849329,True,80,,search_boards
end effector reaching salmon,aim gripper at the salmon,search,,0.9947686403846532,True,80,,search_boards
end effector reaching salmon,reach toward the salmon on the stove,search,,0.9947715848376746,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink rabbit,search,,0.9947331780268641,True,80,,search_boards
end effector reaching stuffedrabbit,place gripper on the pink toy bunny,search,,0.9947438417685585,True,80,,search_boards
end effector reaching stuffedrabbit,point gripper at the pink bunny toy,search,,0.9947468001056876,True,80,,search_boards
end effector reaching stuffedrabbit,place the gripper on the pink stuffed rabbit,search,,0.9947485743129016,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching stuffedrabbit,original,,0.9947533026186275,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed rabbit,search,,0.9947674621416406,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed animal,search,,0.9947745276421259,True,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink bunny,search,,0.9947762925338633,True,80,,search_boards
end effector transition from pot or pan to object,move arm from orange bowl to red wheel,search,,0.40954305957549975,True,80,,search_boards
end effector transition from pot or pan to object,lift hand from orange bowl and move to red and white object,search,,0.41020014991616016,True,80,,search_boards
end effector transition from pot or pan to object,move hand from orange bowl to the red cylinder,search,,0.4475551430694781,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange pot to red container,search,,0.9929855571246959,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange bowl to red container,search,,0.9933225772277311,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red cylinder,search,,0.9933994655451718,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red object,search,,0.9945956183623312,True,80,,search_boards
end effector transition from pot or pan to object,end effector transition from pot or pan to object,original,,0.9947580266894913,True,80,,search_boards
flip cup upright,flip cup upright,original,,0.98671088159692,True,80,,search_boards
flip cup upright,put cup upright,search,,0.9868672962863637,True,80,,search_boards
flip cup upright,flip cup right side up,search,,0.9878881087713429,True,80,,search_boards
flip cup upright,turn cup upright,search,,0.988298238984673,True,80,,search_boards
flip cup upright,rotate cup upright,search,,0.9886388349869205,True,80,,search_boards
flip cup upright,rotate the blue cup upright,search,,0.9935564134678619,True,80,,search_boards
flip cup upright,flip the small blue cup upright,search,,0.9935658273279379,True,80,,search_boards
flip cup upright,turn the light blue cup upright,search,,0.9935889417320404,True,80,,search_boards
flip orange pot upright in sink,turn the orange cup right side up,search,,0.9527653323794093,True,80,,search_boards
flip orange pot upright in sink,turn the orange cup upright,search,,0.9562296556317798,True,80,,search_boards
flip orange pot upright in sink,flip the orange cup right side up,search,,0.9681077527605452,True,80,,search_boards
flip orange pot upright in sink,turn the orange cup upright in sink,search,,0.9783977266481958,True,80,,search_boards
flip orange pot upright in sink,flip orange pot upright in sink,original,,0.981883362340432,True,80,,search_boards
flip orange pot upright in sink,flip the orange cup upright in the sink,search,,0.9947141671007589,True,80,,search_boards
flip orange pot upright in sink,turn the orange cup right side up in sink,search,,0.9947153572807931,True,80,,search_boards
flip pot upright in sink,place the pot right-side up in the sink,search,,0.9740624397924902,True,80,,search_boards
flip pot upright in sink,turn the pot right-side up in the sink,search,,0.9768993471628908,True,80,,search_boards
