task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Grab the glass and lift it off the surface.,3.7095,-0.7936,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the small red strawberry into the deep pot.,6.4123,0.5242,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,put the orange cone-shaped carrot on the cutting board,7.5037,0.8092,True,128.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the strawberry in the pot on the stove.,6.753,0.8649,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Put the cup in the sink.,5.8562,0.9105,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,Put the carrot on the cutting board.,7.7886,1.0941,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Take the red object from the pot and place it on the left burner.,3.7869,1.1447,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Put the cup directly into the sink.,6.2062,1.2605,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the large purple eggplant in either the tall boiling pot or the shallow frying pan.,6.4094,1.5471,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Put the potato in the pot or pan.,7.2968,1.5897,True,64.0
