task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Lift the clear glass out of the rack.,0.5235,-3.9796,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,Pick up the orange carrot and put it on the green cutting board.,6.9678,0.2734,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the red strawberry into the pot.,6.3117,0.4237,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Pick up the red object from the pot and place it on the left burner.,3.1828,0.5406,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the purple eggplant in the silver pot.,5.6907,0.8284,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Move the yellow potato into the pot or the pan.,6.9596,1.2525,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Pick up the blue bowl and lift it up.,6.4325,1.5354,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Pick up the silver pot and put it in the sink.,6.3192,1.6992,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the grey faucet to the right.,8.3776,2.8091,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,Pick up the blue bowl and put it in the box.,6.9698,2.9839,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold the four flaps down on the cardboard box.,7.6121,2.9991,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the orange cloth from left to right.,7.0807,3.8859,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Pick up the spatula and put it on the pink plate in the sink.,6.6827,5.0176,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Lift the pot out of the washbasin.,0.5053,-1.2682,True,64.0
