task,phrase,kind,base_kind,proxy,proxy_imputed,n_ctx,gt_success,source
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,0.9630348257910506,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,0.9840833034889865,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,0.9878467311337525,True,80,,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,0.9915634725078305,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,0.9946822308538273,True,80,,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,0.9866893433757081,True,80,,search_boards
close brown1fbox flap,close the box lid,search,,0.9907795052636347,True,80,,search_boards
close brown1fbox flap,close the left lid of the box,search,,0.9928321453656199,True,80,,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,0.9929034832223326,True,80,,search_boards
close brown1fbox flap,close brown1fbox flap,original,,0.9944647764756416,True,80,,search_boards
close brown1fbox flap,shut the lid on the brown box,search,,0.9946534142750804,True,80,,search_boards
close brown1fbox flap,close the brown box lid,search,,0.9946666411029191,True,80,,search_boards
close fridge,shut the fridge door,search,,0.9946068629249389,True,80,,search_boards
close fridge,shut the white fridge,search,,0.994611718134348,True,80,,search_boards
close fridge,close fridge,original,,0.9946834281863253,True,80,,search_boards
close fridge,close the white fridge,search,,0.9946870185751742,True,80,,search_boards
close fridge,shut the fridge,search,,0.9946894108277965,True,80,,search_boards
close fridge,close the fridge,search,,0.9946900087235273,True,80,,search_boards
close fridge,shut the white cabinet door,search,,0.9947097017651604,True,80,,search_boards
close low fridge,close the white door,search,,0.9947031455030838,True,80,,search_boards
close low fridge,close the lower white door,search,,0.9947085103181955,True,80,,search_boards
close low fridge,close the white cupboard door,search,,0.9947132745052323,True,80,,search_boards
close low fridge,shut the white door,search,,0.9947210072108749,True,80,,search_boards
close low fridge,close low fridge,original,,0.9947221958589335,True,80,,search_boards
close low fridge,close the cabinet below the dispenser,search,,0.9947730566579682,True,80,,search_boards
close low fridge,shut the lower cabinet door,search,,0.9947748220439175,True,80,,search_boards
close low fridge,shut the white cupboard door,search,,0.9947789389715488,True,80,,search_boards
close microwave,close microwave,original,,0.9946546180609626,True,80,,search_boards
close microwave,shut the white microwave,search,,0.99467144278492,True,80,,search_boards
close microwave,shut the wooden microwave,search,,0.9946750412244232,True,80,,search_boards
close microwave,push the white microwave shut,search,,0.9946804343521749,True,80,,search_boards
close microwave,push the wooden microwave shut,search,,0.9946834281863253,True,80,,search_boards
close microwave,shut the white microwave door,search,,0.9947824651983574,True,80,,search_boards
close microwave,shut the microwave door,search,,0.9947830526724561,True,80,,search_boards
close microwave,close the wooden microwave,search,,0.9947859890560881,True,80,,search_boards
close microwave,shut the microwave,search,,0.9947889237956202,True,80,,search_boards
close oven,close oven,original,,0.9946546180609626,True,80,,search_boards
close oven,push the open oven door until it is shut,search,,0.9946732423069058,True,80,,search_boards
close oven,push the open oven door shut,search,,0.9946756407293041,True,80,,search_boards
close oven,push the oven door back to close it,search,,0.9946918020090182,True,80,,search_boards
close oven,push the oven door to shut it,search,,0.9946941921193139,True,80,,search_boards
close oven,close the open oven door,search,,0.9947417701599176,True,80,,search_boards
close oven,shut the open oven door,search,,0.9947417701599176,True,80,,search_boards
close oven,close the oven door completely,search,,0.99474413789005,True,80,,search_boards
close oven,push the oven door to close it,search,,0.9947500525765668,True,80,,search_boards
close small4fbox flaps,close the small box on the stove,search,,0.9918116557113246,True,80,,search_boards
close small4fbox flaps,shut the small box,search,,0.9943527559198182,True,80,,search_boards
close small4fbox flaps,close the small box,search,,0.9943552978253017,True,80,,search_boards
close small4fbox flaps,fold the flaps of the box closed,search,,0.9946491989007139,True,80,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,search,,0.9946552198528088,True,80,,search_boards
close small4fbox flaps,close small4fbox flaps,original,,0.9947186291158526,True,80,,search_boards
close small4fbox flaps,close the box flaps on the stove,search,,0.9947524165968813,True,80,,search_boards
close white1fbox flap,close flap of the white box,search,,0.9946491989007139,True,80,,search_boards
close white1fbox flap,close the flap on the white box,search,,0.9946570248240568,True,80,,search_boards
close white1fbox flap,close white1fbox flap,original,,0.9946678419267404,True,80,,search_boards
close white1fbox flap,close white box's flap,search,,0.9946768395376734,True,80,,search_boards
close white1fbox flap,close white box flap,search,,0.9947382165751869,True,80,,search_boards
close white1fbox flap,fold down the white box flap,search,,0.9947388090051582,True,80,,search_boards
end effector reaching banana,aim the claw at the toy banana,search,,0.9785918502983936,True,80,,search_boards
end effector reaching banana,navigate to the toy banana,search,,0.9814649120335359,True,80,,search_boards
end effector reaching banana,aim the hand at the toy banana,search,,0.9831195734249027,True,80,,search_boards
end effector reaching banana,reach toward the yellow banana,search,,0.9913107584959047,True,80,,search_boards
end effector reaching banana,end effector reaching banana,original,,0.9940980481303217,True,80,,search_boards
end effector reaching banana,grab the yellow banana on the stove,search,,0.9948251783366693,True,80,,search_boards
end effector reaching banana,reach toward the toy banana,search,,0.9948257610264498,True,80,,search_boards
end effector reaching banana,aim the claw at the yellow banana,search,,0.9948269262102079,True,80,,search_boards
end effector reaching carrot,touch the carrot on the stove grate,search,,0.9810106423084346,True,80,,search_boards
end effector reaching carrot,touch the orange carrot on the stove,search,,0.9866446710385086,True,80,,search_boards
end effector reaching carrot,touch the orange carrot on the right stove grate,search,,0.9882187760524795,True,80,,search_boards
end effector reaching carrot,point gripper at the orange carrot,search,,0.9887230728966714,True,80,,search_boards
end effector reaching carrot,end effector reaching carrot,original,,0.994704338151575,True,80,,search_boards
end effector reaching carrot,aim gripper at the orange carrot,search,,0.994744729656856,True,80,,search_boards
end effector reaching corn,reach for the yellow corn on the stove,search,,0.9197207233764129,True,80,,search_boards
end effector reaching corn,put the gripper next to the corn,search,,0.9921967515288087,True,80,,search_boards
end effector reaching corn,touch the yellow corn,search,,0.994530432691627,True,80,,search_boards
end effector reaching corn,position gripper next to the corn,search,,0.9945776401596296,True,80,,search_boards
end effector reaching corn,touch the yellow corn with the gripper,search,,0.9945794711873293,True,80,,search_boards
end effector reaching corn,touch the toy corn with the gripper,search,,0.994603826209744,True,80,,search_boards
end effector reaching corn,end effector reaching corn,original,,0.9946353250970055,True,80,,search_boards
end effector reaching corn,touch the corn with the gripper,search,,0.9946407582325945,True,80,,search_boards
end effector reaching pot or pan,touch the red pot on the burner,search,,0.9820447421161737,True,80,,search_boards
end effector reaching pot or pan,reach for the red pot on the burner,search,,0.9907110056727317,True,80,,search_boards
end effector reaching pot or pan,move the gripper to the red toy pot,search,,0.9922186305580426,True,80,,search_boards
end effector reaching pot or pan,bring the gripper to the red toy pot,search,,0.9930659095966645,True,80,,search_boards
