# NOTE (sim phase): base_logit / rewrite_logit / delta here are REAL rollout success rates in percent (0-100), not proxy logits.
task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
widowx_spoon_on_towel,adversarial,It would be highly appreciated if you could relocate the concave piece of silverware so that it resides atop the woven textile.,50.0,Put the spoon on the blue cloth.,33.3333,-16.6667,True,6.0
widowx_coke_can_on_plate_clean,adversarial,"Assuming the plate is readily accessible, proceed to transport the red tin of cola directly onto its surface.",0.0,Move the red can of cola onto the green plate.,0.0,0.0,True,6.0
widowx_stack_cube,adversarial,"Assuming the yellow block is currently clear, elevate the green block until it can be deposited directly upon its upper surface.",0.0,Pick up the green block and stack it on top of the yellow block.,0.0,0.0,True,6.0
widowx_put_eggplant_in_basket,adversarial,Deposit the bulbous purple vegetable directly into the confines of the yellow woven basket.,100.0,Put the eggplant into the yellow basket.,100.0,0.0,True,6.0
widowx_carrot_on_wheel_clean,adversarial,The elongated orange taproot must be elevated from its current location and meticulously positioned such that it is fully supported by the wheel.,0.0,Pick up the carrot and place it on the wheel.,0.0,0.0,True,6.0
widowx_stack_cube,adversarial,"Without disturbing the surrounding items, it is required that the block of green coloration be made to rest atop its yellow counterpart.",0.0,Stack the green cube on top of the yellow cube without moving the other objects.,16.6667,16.6667,True,6.0
widowx_stack_cube,adversarial,"Unto the yellow block, provided it remains stationary, arrange for the green block to be vertically superimposed.",0.0,"Stack the green block on top of the yellow block, keeping the yellow block in place.",16.6667,16.6667,True,6.0
widowx_carrot_on_plate,adversarial,"Given the current arrangement of objects, ensure that the carrot is swiftly conveyed to the surface of the plate.",16.6667,Put the carrot on the plate.,33.3333,16.6667,True,6.0
widowx_carrot_on_plate,adversarial,"You are hereby instructed to commence the relocation of the carrot, terminating said motion only when it makes contact with the plate.",16.6667,Move the carrot onto the plate.,33.3333,16.6667,True,6.0
widowx_carrot_on_plate,adversarial,"The carrot, which is presently situated in its initial starting location, must be lifted and maneuvered until it occupies the plate.",16.6667,Pick up the carrot and place it on the plate.,33.3333,16.6667,True,6.0
widowx_stack_cube,adversarial,"Avoiding all other objects, ensure that the highest point of the yellow block becomes the new foundation for the green block.",0.0,Stack the green block on top of the yellow block.,16.6667,16.6667,True,6.0
