task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
put blueberries on plate sink,10,0.994633321861253,0.1605047156277003,0.9879814371825,0,0,0.8341286062335527
pick up pan from stove,12,0.9771841850472069,0.15454880114935993,0.92107679076324,0,0,0.8226353838978471
pick up blue pen and put into drawer,11,0.9945468382778,0.17245345359381334,0.9856519436019503,0,0,0.8220933846839866
put clothes in laundry machine,9,0.9946766500978346,0.21892012659639204,0.9922593236955779,0,0,0.7757565235014425
wipe pot with sponge,10,0.9945376221355594,0.2231716075407562,0.9904662150538242,0,0,0.7713660145948031
pick up pot,10,0.964453291948728,0.19706832019859816,0.9309511857719686,0,0,0.7673849717501298
put stuffedduck in pan,10,0.994629695381331,0.24927376376179936,0.9878578333539672,0,0,0.7453559316195316
put pepper in pot or pan,9,0.9692889340370365,0.22933566302516226,0.9236554029201297,0,0,0.7399532710118742
put carrot on plate,8,0.9892719110996612,0.24997671448984574,0.9880544421767714,0,0,0.7392951966098155
pick up scissors and put into drawer,8,0.9944264402150376,0.2642993855952033,0.9869326286419307,0,0,0.7301270546198343
put bowl on plate,11,0.9933069308066466,0.29200196201245165,0.9922601930552029,0,0,0.7013049687941949
turn lever vertical to front,13,0.9935216701679291,0.3082165053507561,0.985841197523338,0,0,0.6853051648171731
put cup from anywhere into sink,9,0.9928262496015067,0.320477691169806,0.9809571860315607,0,0,0.6723485584317006
move light switch to the right,10,0.9946802450395834,0.33019909459632957,0.9942031535547009,0,0,0.6644811504432538
pick up glue and put into drawer,10,0.9945695053634301,0.33951468225792886,0.9853699526446288,0,0,0.6550548231055013
put pot in sink,9,0.9946072781688234,0.34410451781301277,0.9835291620675456,0,0,0.6505027603558107
end effector transition from pot or pan to object,8,0.9946453925455885,0.40438495429268084,0.9930072116935555,0,0,0.5902604382529076
unfold the cloth from bottom to top,9,0.994468316890807,0.41639318689654947,0.9746763575047495,0,0,0.5780751299942575
fold the cloth from top to bottom,9,0.9906678685328626,0.4688565206836867,0.9861799942231821,0,0,0.5218113478491759
fold the cloth from bottom right to top left,10,0.9944270675515886,0.5378712957170997,0.9909720467842383,0,0,0.4565557718344889
put carrot in pot or pan,10,0.994568893973317,0.5995172770801115,0.9845957068810578,0,0,0.39505161689320556
put brush into pot or pan,9,0.9890608549276786,0.5963690240618753,0.9847171260357627,0,0,0.3926918308658033
move the silver pot to the upper right of table,9,0.9873103923015261,0.6156864316672263,0.9035562832341661,0,0,0.3716239606342998
pick up any cup,10,0.9946133460364723,0.6280473671343904,0.9898719558010542,0,0,0.366565978902082
end effector reaching salmon,10,0.9946592404532604,0.6382462239143707,0.9898528844056083,0,0,0.3564130165388897
put detergent in sink,7,0.988411819998323,0.6489448185795084,0.9859748703953062,0,0,0.3394670014188146
put the ball in the cup,4,0.9858490952781737,0.7830452026191564,0.8566150462747695,0,0,0.20280389265901722
put big spoon from basket to tray,10,0.9855829463759447,0.8276857522619255,0.9425090808835588,0,0,0.15789719411401915
put the blue figure on the top edge of the cloth,7,0.9946634479593099,0.8372038934691349,0.9366178945068555,0,0,0.157459554490175
put sweet potato in pan which is on stove,11,0.98264479353322,0.8255443235290502,0.8830263727932567,0,0,0.15710047000416982
put corn in pot which is in sink,14,0.9743587260410328,0.8268770637650239,0.9115332748184288,0,0,0.1474816622760089
put the yellow duck in the drawer,6,0.9946393605825911,0.8699243507872161,0.9420870703910609,0,0,0.12471500979537498
put small spoon from basket to tray,8,0.9892478581284176,0.8668323731000791,0.9878715820413714,0,0,0.12241548502833854
