task,phrase,kind,base_kind,proxy,proxy_imputed,n_ctx,gt_success,source
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,0.9623177522206522,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,0.9837676591986533,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,0.9876047793936428,True,80,,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,0.9913948704563579,True,80,,search_boards
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,0.9945756155010826,True,80,,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,0.986424666582103,True,80,,search_boards
close brown1fbox flap,close the box lid,search,,0.9905953844076114,True,80,,search_boards
close brown1fbox flap,close the left lid of the box,search,,0.992688710499294,True,80,,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,0.9927614654793453,True,80,,search_boards
close brown1fbox flap,close brown1fbox flap,original,,0.9943538261519672,True,80,,search_boards
close brown1fbox flap,shut the lid on the brown box,search,,0.9945462243497157,True,80,,search_boards
close brown1fbox flap,close the brown box lid,search,,0.9945597149025106,True,80,,search_boards
close fridge,shut the fridge door,search,,0.9944987448861783,True,80,,search_boards
close fridge,shut the white fridge,search,,0.9945036968917308,True,80,,search_boards
close fridge,close fridge,original,,0.9945768367078845,True,80,,search_boards
close fridge,close the white fridge,search,,0.9945804986879231,True,80,,search_boards
close fridge,shut the fridge,search,,0.9945829386415812,True,80,,search_boards
close fridge,close the fridge,search,,0.9945835484592693,True,80,,search_boards
close fridge,shut the white cabinet door,search,,0.9946036341856146,True,80,,search_boards
close low fridge,close the white door,search,,0.9945969471880832,True,80,,search_boards
close low fridge,close the lower white door,search,,0.9946024189804137,True,80,,search_boards
close low fridge,close the white cupboard door,search,,0.9946072781688234,True,80,,search_boards
close low fridge,shut the white door,search,,0.9946151650722572,True,80,,search_boards
close low fridge,close low fridge,original,,0.9946163774233504,True,80,,search_boards
close low fridge,close the cabinet below the dispenser,search,,0.9946682525007234,True,80,,search_boards
close low fridge,shut the lower cabinet door,search,,0.9946700530943356,True,80,,search_boards
close low fridge,shut the white cupboard door,search,,0.9946742521276839,True,80,,search_boards
close microwave,close microwave,original,,0.9945474521371536,True,80,,search_boards
close microwave,shut the white microwave,search,,0.9945646123252992,True,80,,search_boards
close microwave,shut the wooden microwave,search,,0.9945682825147468,True,80,,search_boards
close microwave,push the white microwave shut,search,,0.9945737831780571,True,80,,search_boards
close microwave,push the wooden microwave shut,search,,0.9945768367078845,True,80,,search_boards
