# NOTE (sim phase): base_logit / rewrite_logit / delta here are REAL rollout success rates in percent (0-100), not proxy logits.
task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
widowx_spoon_on_towel,adversarial,It would be highly appreciated if you could relocate the concave piece of silverware so that it resides atop the woven textile.,50.0,put the spoon on top of the cloth,33.3333,-16.6667,True,6.0
widowx_carrot_on_plate,adversarial,Proceed to grasp the carrot and subsequently establish its position atop the dining plate.,33.3333,put the carrot on top of the dining plate,16.6667,-16.6667,True,6.0
widowx_carrot_on_plate,adversarial,"Given the current arrangement of objects, ensure that the carrot is swiftly conveyed to the surface of the plate.",16.6667,put the carrot on the surface of the plate,16.6667,0.0,True,6.0
widowx_carrot_on_wheel_clean,adversarial,The elongated orange taproot must be elevated from its current location and meticulously positioned such that it is fully supported by the wheel.,0.0,take the orange carrot from its current location and put it on the wheel,0.0,0.0,True,18.0
widowx_coke_can_on_ramekin_clean,adversarial,"Should you be capable of manipulating the cylindrical cola container, proceed to hoist it and guide it downward until it is securely housed in the ramekin.",0.0,pick up the cola can and put it down in the bowl,16.6667,16.6667,True,6.0
widowx_stack_cube,adversarial,"Without disturbing the surrounding items, it is required that the block of green coloration be made to rest atop its yellow counterpart.",0.0,put the green block on top of the yellow block,16.6667,16.6667,True,6.0
widowx_coke_can_on_plate_clean,adversarial,"Assuming the plate is readily accessible, proceed to transport the red tin of cola directly onto its surface.",0.0,put the red can of cola directly onto the plate,16.6667,16.6667,True,18.0
widowx_carrot_on_keyboard_clean,adversarial,"Assuming you have grasped the orange root vegetable, please transport it such that it rests atop the device used for typing.",0.0,put the orange carrot on top of the keyboard,33.3333,33.3333,True,6.0
widowx_stack_cube,adversarial,"Assuming the yellow block is currently clear, elevate the green block until it can be deposited directly upon its upper surface.",0.0,put the green block directly on the yellow block,33.3333,33.3333,True,6.0
widowx_spoon_on_towel,adversarial,It is hereby requested that the spoon be promptly elevated from its current station and subsequently lowered onto the surface of the towel.,0.0,take the spoon from its current station and put it on the surface of the towel,33.3333,33.3333,True,6.0
widowx_spoon_on_towel,adversarial,"Rather than leaving it where it currently sits, take the device we use to eat cereal and leave it securely upon the towel.",0.0,leave the spoon on the towel,33.3333,33.3333,True,6.0
widowx_coke_can_on_plate_clean,adversarial,Ensure that the plate is made to bear the weight of the red aluminum beverage cylinder without delay.,0.0,put the red aluminum can on the plate,50.0,50.0,True,18.0
widowx_stack_cube,natural,Can you place the green block onto the yellow block for me?,33.3333,place the green block onto the yellow block,0.0,-33.3333,True,18.0
widowx_carrot_on_wheel_clean,natural,Move the orange vegetable to the wheel.,0.0,Move the orange carrot to the wheel.,0.0,0.0,True,6.0
widowx_spoon_on_towel,natural,Could you grab that spoon and set it on the cloth for me?,50.0,grab that spoon and set it on the cloth,66.6667,16.6667,True,18.0
widowx_carrot_on_keyboard_clean,natural,Pick up the carrot and set it down on the keyboard.,0.0,set the carrot down on the keyboard.,33.3333,33.3333,True,18.0
